chemical_name,who_class,who_description,ld50_rat_oral_mgkg,who_class_numeric,chemical_name_clean,who_class_valid,is_carcinogen,is_endocrine_disruptor,is_neurotoxin,is_reproductive_toxin,is_pbt,total_hazard_flags,cid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,charge,name_length,word_count,has_number,has_hyphen,has_parenthesis,special_chars,log_molecularweight,log_ld50,toxicity_weighted
iprodione,III,Slightly hazardous,3500.0,3,iprodione,III,1.0,1.0,0.0,0.0,0.0,2.0,37517.0,330.16,3.1,69.7,448.0,1.0,3.0,2.0,21.0,0.0,9,1,0,0,0,0,5.802601642270605,8.160803920954665,16.32160784190933
captan,III,Slightly hazardous,9000.0,3,captan,III,0.0,0.0,0.0,0.0,0.0,0.0,8606.0,300.6,2.4,62.7,340.0,0.0,3.0,1.0,16.0,0.0,6,1,0,0,0,0,5.709101636133801,9.105090961257085,11.058772120302688
thiram,III,Slightly hazardous,560.0,3,thiram,III,0.0,0.0,0.0,0.0,0.0,0.0,5455.0,240.4,1.7,121.0,158.0,0.0,4.0,3.0,12.0,0.0,6,1,0,0,0,0,5.486455308663431,6.329720905522696,11.058772120302688
carbendazim,U,Unlikely hazardous,15000.0,4,carbendazim,U,0.0,1.0,0.0,1.0,0.0,2.0,25429.0,191.19,1.5,67.0,222.0,2.0,3.0,2.0,14.0,0.0,11,1,0,0,0,0,5.258484466046314,9.61587214452889,19.23174428905778
benomyl,U,Unlikely hazardous,10000.0,4,benomyl,U,0.0,0.0,0.0,0.0,0.0,0.0,28780.0,290.32,2.1,85.3,377.0,2.0,4.0,5.0,21.0,0.0,7,1,0,0,0,0,5.6744223193497145,9.210440366976517,11.058772120302688
azoxystrobin,U,Unlikely hazardous,5000.0,4,azoxystrobin,U,0.0,0.0,0.0,0.0,0.0,0.0,3034285.0,403.4,3.7,104.0,646.0,0.0,8.0,8.0,30.0,0.0,12,1,0,0,0,0,6.0024044871463165,8.517393171418904,11.058772120302688
atrazine,U,Unlikely hazardous,1869.0,4,atrazine,U,0.0,1.0,0.0,1.0,0.0,2.0,2256.0,215.68,2.6,62.7,166.0,2.0,5.0,4.0,14.0,0.0,8,1,0,0,0,0,5.378421610789698,7.533693709848633,15.067387419697265
"2,4-D",II,Moderately hazardous,639.0,2,24-d,II,0.0,0.0,0.0,0.0,0.0,0.0,39552.5,302.3,3.5,60.8,313.0,0.0,4.0,4.0,18.0,0.0,4,1,1,1,0,1,5.714722414694536,6.461468176353717,11.058772120302688
paraquat,IB,Highly hazardous,58.0,1,paraquat,IB,0.0,0.0,1.0,0.0,0.0,1.0,15939.0,186.25,1.7,7.8,145.0,0.0,0.0,1.0,14.0,0.0,8,1,0,0,0,0,5.232444622397328,4.07753744390572,4.07753744390572
metolachlor,III,Slightly hazardous,2780.0,3,metolachlor,III,0.0,0.0,0.0,0.0,0.0,0.0,4169.0,283.79,3.1,29.5,285.0,0.0,2.0,6.0,19.0,0.0,11,1,0,0,0,0,5.651752066561817,7.930565854233965,11.058772120302688
alachlor,III,Slightly hazardous,930.0,3,alachlor,III,0.0,0.0,0.0,0.0,0.0,0.0,2078.0,269.77,3.5,29.5,248.0,0.0,2.0,6.0,18.0,0.0,8,1,0,0,0,0,5.601269752035662,6.836259277277067,11.058772120302688
pendimethalin,II,Moderately hazardous,1050.0,2,pendimethalin,II,0.0,0.0,0.0,0.0,0.0,0.0,39552.5,281.31,5.2,104.0,313.0,1.0,5.0,4.0,20.0,0.0,13,1,0,0,0,0,5.64300575794059,6.957497370876951,11.058772120302688
