chemical_name_clean,who_class_valid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,ld50_rat_oral_mgkg,log_ld50,log_molecularweight,is_carcinogen,is_neurotoxin,is_endocrine_disruptor,is_reproductive_toxin,total_hazard_flags,name_length,word_count,has_number,has_hyphen,special_chars
spinosad,III,1477.9,2.8,222.0,2620.0,0.0,22.0,18.0,105.0,3738.0,8.226573474977114,7.299053847172724,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0
indoxacarb,II,527.8,4.8,107.0,912.0,0.0,11.0,5.0,36.0,268.0,5.594711379601839,6.270610288537476,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
emamectin benzoate,IB,1008.2,5.0,199.0,1850.0,4.0,16.0,10.0,72.0,76.0,4.343805421853684,6.916913216766902,0.0,0.0,0.0,0.0,0.0,18,2,0,0,1
chlorfenapyr,II,407.61,4.5,38.0,448.0,0.0,5.0,4.0,23.0,441.0,6.091309882077698,6.012761155897063,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
spiromesifen,U,370.5,5.1,52.6,621.0,0.0,4.0,5.0,27.0,2500.0,7.824445930877619,5.917548864157814,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
lufenuron,U,511.1,6.4,67.4,677.0,2.0,11.0,5.0,32.0,2000.0,7.601402334583733,6.238519918468505,0.0,0.0,0.0,0.0,0.0,9,1,0,0,0
fenpropathrin,II,349.4,5.7,59.3,553.0,0.0,4.0,6.0,26.0,70.0,4.2626798770413155,5.859075359062237,0.0,0.0,0.0,0.0,0.0,13,1,0,0,0
zeta-cypermethrin,II,416.3,6.0,59.3,643.0,0.0,4.0,7.0,28.0,80.0,4.394449154672439,6.033805387597507,0.0,0.0,0.0,0.0,0.0,17,1,0,1,1
fenobucarb,II,207.27,2.8,38.3,206.0,1.0,2.0,4.0,15.0,623.0,6.436150368369428,5.338835314850925,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
bendiocarb,IB,223.22,1.7,56.8,279.0,1.0,4.0,2.0,16.0,40.0,3.713572066704308,5.412627712725447,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
dinotefuran,U,202.21,0.0,91.5,225.0,2.0,4.0,4.0,14.0,2450.0,7.804251383528112,5.314239927091852,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
nitenpyram,U,270.71,2.4,74.0,306.0,1.0,5.0,5.0,18.0,1680.0,7.427144133408616,5.604735321054966,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
zineb,U,275.8,0.5,90.2,108.0,2.0,4.0,3.0,11.0,5200.0,8.556606193773073,5.623295223743515,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0
maneb,U,265.3,0.5,90.2,108.0,2.0,4.0,3.0,11.0,6750.0,8.81744592104187,5.584623492819887,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0
trifloxystrobin,U,408.4,4.9,69.5,607.0,0.0,9.0,8.0,29.0,5000.0,8.517393171418904,6.014692673227189,0.0,0.0,0.0,0.0,0.0,15,1,0,0,0
imazapyr,U,261.28,1.2,91.7,433.0,2.0,5.0,3.0,19.0,5000.0,8.517393171418904,5.569412635395419,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0
imazethapyr,U,289.33,2.0,91.7,475.0,2.0,5.0,4.0,21.0,5000.0,8.517393171418904,5.671018207062228,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
fluazifop-butyl,II,383.4,4.5,57.7,453.0,0.0,8.0,9.0,27.0,3328.0,8.110427237575024,5.951683677096137,0.0,0.0,0.0,0.0,0.0,15,1,0,1,1
metsulfuron-methyl,U,381.37,1.5,158.0,609.0,2.0,9.0,6.0,26.0,5000.0,8.517393171418904,5.946388726216891,0.0,0.0,0.0,0.0,0.0,18,1,0,1,1
hexythiazox,U,352.9,4.5,74.7,448.0,1.0,3.0,2.0,23.0,5000.0,8.517393171418904,5.869014387351418,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
mirex,IB,545.5,5.3,0.0,567.0,0.0,0.0,0.0,22.0,235.0,5.4638318050256105,6.3035343076165935,1.0,0.0,0.0,1.0,3.0,5,1,0,0,0
toxaphene,IB,411.8,4.7,0.0,313.0,0.0,0.0,2.0,18.0,80.0,4.394449154672439,6.022963214167353,1.0,0.0,1.0,1.0,4.0,9,1,0,0,0
