cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
3034287.0,C11H15ClN4O2,270.71,CCN(CC1=CN=C(C=C1)Cl)/C(=C/[N+](=O)[O-])/NC,CFRPSFYHXJZSBI-DHZHZOJOSA-N,"(E)-1-N'-[(6-chloro-3-pyridinyl)methyl]-1-N'-ethyl-1-N-methyl-2-nitroethene-1,1-diamine",2.4,74.0,306.0,1.0,5.0,5.0,18.0,nitenpyram,,pubchem
115224.0,C10H9ClN4S,252.72,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,HOKKPVIRMVDYPB-UHFFFAOYSA-N,"[3-[(6-chloro-3-pyridinyl)methyl]-1,3-thiazolidin-2-ylidene]cyanamide",2.2,77.6,324.0,0.0,4.0,2.0,16.0,thiacloprid,,pubchem
3034368.0,C8H12MnN4S8Zn,541.1,C(CNC(=S)[S-])NC(=S)[S-].C(CNC(=S)[S-])NC(=S)[S-].[Mn+2].[Zn+2],CHNQZRKUZPNOOH-UHFFFAOYSA-J,zinc;manganese(2+);bis(N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate),0.5,180.0,108.0,4.0,8.0,6.0,22.0,mancozeb,0.0,PPDB estimate
15910.0,C8Cl4N2,265.9,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-tetrachlorobenzene-1,3-dicarbonitrile",2.9,47.6,284.0,0.0,2.0,0.0,14.0,chlorothalonil,,pubchem
43234.0,C15H17Cl2N3O2,342.2,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,STJLVHWMYQXCPB-UHFFFAOYSA-N,"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",3.5,49.2,377.0,0.0,4.0,5.0,22.0,propiconazole,,pubchem
86102.0,C16H22ClN3O,307.82,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,PXMNMQRDXWABCY-UHFFFAOYSA-N,"1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",3.7,50.9,326.0,1.0,3.0,6.0,21.0,tebuconazole,,pubchem
37517.0,C13H13Cl2N3O3,330.16,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,ONUFESLQCSAYKA-UHFFFAOYSA-N,"3-(3,5-dichlorophenyl)-2,4-dioxo-N-propan-2-ylimidazolidine-1-carboxamide",3.1,69.7,448.0,1.0,3.0,2.0,21.0,iprodione,,pubchem
8606.0,C9H8Cl3NO2S,300.6,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,LDVVMCZRFWMZSG-UHFFFAOYSA-N,"2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione",2.4,62.7,340.0,0.0,3.0,1.0,16.0,captan,,pubchem
5455.0,C6H12N2S4,240.4,CN(C)C(=S)SSC(=S)N(C)C,KUAZQDVKQLNFPE-UHFFFAOYSA-N,"dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate",1.7,121.0,158.0,0.0,4.0,3.0,12.0,thiram,,pubchem
5284484.0,C4H6N2S4Zn,275.8,C(CNC(=S)[S-])NC(=S)[S-].[Zn+2],AMHNZOICSMBGDH-UHFFFAOYSA-L,zinc N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,0.5,90.2,108.0,2.0,4.0,3.0,11.0,zineb,0.0,PPDB estimate
